name,category,state,lga,coords[]+,coords[]+,latitude+,longitude+,description
LA0101001,pollbooth,LA,1,6.609783679,3.329201362,6.609783679,3.329201362,"THE PU IS LOCATED AT ST. JOSEPH SEC. SCH, MANGORO IN AGEGE LAGOS STATE."
LA0101002,pollbooth,LA,1,6.611686874,3.327678222,6.611686874,3.327678222,"THE PU IS LOCATED AT HOUSE 15 OF SHOMIDE STREET, IDIMANGORO IN AGEGE LAGOS STATE."
LA0101003,pollbooth,LA,1,6.612409369,3.328461338,6.612409369,3.328461338,"THE PU IS LOCATED AT A SHOP AT NO 1 GARUBA STREET, IDI MANGORO IN AGEGE LAGOS STATE."
LA0101004,pollbooth,LA,1,6.610046097,3.327610533,6.610046097,3.327610533,"THE PU IS LOCATED AT HOUSE 8 OF SEBIOTIMO STREET, MANGORO IN AGEGE LAGOS STATE."
LA0101005,pollbooth,LA,1,6.609936716,3.327601108,6.609936716,3.327601108,"THE PU IS LOCATED AT HOUSE 6 OF SEBIOTIMO STREET, MANGORO IN AGEGE LAGOS STATE."
LA0101006,pollbooth,LA,1,6.610910446,3.326761737,6.610910446,3.326761737,"THE PU IS LOCATED AT A MOSQUE WITHIN OGABI SQUARE, MANGORO IN AGEGE LAGOS STATE."
LA0101007,pollbooth,LA,1,6.613538297,3.326624902,6.613538297,3.326624902,"THE PU IS LOCATED AT HOUSE 3/10 OF KAMORU ALIMI STREET BY SEBIOTIMO STREET, IDIMANGORO IN AGEGE LAGOS STATE."
LA0101008,pollbooth,LA,1,6.613677585,3.32668295,6.613677585,3.32668295,"THE PU IS LOCATED AT HOUSE 14 OF KAMORO ALIMI STREET BY SEBIOTIMO STREET, IDIMANGORO IN AGEGE LAGOS STATE."
LA0101009,pollbooth,LA,1,6.612710036,3.325674073,6.612710036,3.325674073,"THE PU IS LOCATED AT HOUSE 18 OF MAYAKA STREET, IDIMANGORO IN AGEGE LAGOS STATE."
LA0101010,pollbooth,LA,1,6.612998438,3.326664244,6.612998438,3.326664244,"THE PU IS LOCATED AT COMMUNITY PRY. SCH, AT YAKUBU LANE, IDIMANGORO IN AGEGE LAGOS STATE."
LA0101011,pollbooth,LA,1,6.609624527,3.325331452,6.609624527,3.325331452,"THE PU IS LOCATED AT HOUSE 1 OF OTUN STREET, MANGORO IN AGEGE LAGOS STATE."
LA0101012,pollbooth,LA,1,6.609971744,3.325240279,6.609971744,3.325240279,"THE PU IS LOCATED AT A MOSQUE AT NO 7 OF OTUN STREET, MANGORO IN AGEGE LAGOS STATE."
LA0101013,pollbooth,LA,1,6.610321049,3.326126578,6.610321049,3.326126578,"THE PU IS LOCATED AT HOUSE 11 OF TALABI STREET, MANGORO IN AGAGE LAGOS STATE."
LA0101014,pollbooth,LA,1,6.609133431,3.322816741,6.609133431,3.322816741,"THE PU IS LOCATED AT STATE PRY. SCH, ALONG OMOLERE-IKUOMOLA STREET, ILORO IN AGEGE LAGOS STATE."
LA0101015,pollbooth,LA,1,6.609944103,3.320711215,6.609944103,3.320711215,"THE PU IS LOCATED AT HOUSE 2 OF FISHER STREET, ILORO IN AGEGE LAGOS STATE."
LA0101016,pollbooth,LA,1,6.610472187,3.320138495,6.610472187,3.320138495,"THE PU IS LOCATED AT HOUSE 13 OF OLUFESO STREET, ILORO IN AGEGE LAGOS STATE."
LA0101017,pollbooth,LA,1,6.611092334,3.322098114,6.611092334,3.322098114,"THE PU IS LOCATED AT ILORO GRAMMER SCH, ALONG OLUFESO STREET, ILORO IN AGEGE LAGOS STATE."
LA0101018,pollbooth,LA,1,6.613251479,3.322661268,6.613251479,3.322661268,"THE PU IS LOCATED AT HOUSE 17 OF AJIBOSE STREET, ILORO IN AGEGE LAGOS STATE."
LA0101019,pollbooth,LA,1,6.613273292,3.322595506,6.613273292,3.322595506,"THE PU IS LOCATED AT HOUSE 15 OF AJIBOSE STREET, ILORO IN AGEGE LAGOS STATE."
